"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use","probability","prediction"
"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","yes","no","mother",2,2,0,"yes","no","no","no","yes","no",4,3,4,1,1,3,5,2,8,8,1,FALSE,0.432995705273567,FALSE
"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","no","yes","father",1,2,0,"no","yes","no","no","yes","no",5,3,3,1,1,3,3,7,8,8,1,FALSE,0.330159024369649,FALSE
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes","mother",1,2,2,"yes","no","yes","no","yes","no",4,3,2,2,3,3,8,10,10,11,2.5,TRUE,0.693934008708914,TRUE
"GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,1,14,14,14,1,FALSE,0.444190357473191,FALSE
"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","no","father",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,2,5,2,8,12,12,1.5,FALSE,0.385606239318237,FALSE
"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,2,5,8,14,14,14,1.5,FALSE,0.40600657894576,FALSE
"GP","M",16,"U","LE3","T",2,2,"other","other","home","yes","yes","mother",1,2,0,"no","no","no","no","yes","no",4,4,4,1,1,3,0,12,12,12,1,FALSE,0.355120549524681,FALSE
"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","yes","no","mother",2,2,0,"yes","yes","no","no","yes","no",4,1,4,1,1,1,4,8,9,10,1,FALSE,0.417016651002987,FALSE
"GP","M",15,"U","LE3","A",3,2,"services","other","home","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,2,2,1,1,1,0,16,17,18,1,FALSE,0.355120549524681,FALSE
"GP","M",15,"U","GT3","T",3,4,"other","other","home","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,13,14,14,1,FALSE,0.288301795600693,FALSE
